price,city,region,district,floor,age,heating_type,total_floors,furnished_house,baths,rooms,salon,area,net area
39000,Ankara,Çankaya,Bahçelievler,3. floor,30,Kombi,3,Eşyalı Değil,1,3,1,130,120
23000,Ankara,Çankaya,Harbiye,3. floor,23,Merkezi,3,Eşyalı Değil,1,4,1,180,160
18000,Ankara,Keçiören,İncirli,1. floor,20,Kombi,4,Eşyalı Değil,1,3,1,120,110
37000,Ankara,Etimesgut,Yeşilova,Middle floor,2,Merkezi (Pay Ölçer),22,Eşyalı Değil,2,3,1,150,130
45000,Ankara,Çankaya,Keklik Pınarı,2. floor,15,Kombi,4,Eşyalı Değil,2,4,1,195,180
35000,Ankara,Yenimahalle,Susuz,3. floor,0,Merkezi (Pay Ölçer),11,Eşyalı Değil,2,4,1,160,130
15000,Ankara,Keçiören,Etlik,Ground floor,25,Kombi,3,Eşyalı,1,3,1,135,130
18000,Ankara,Keçiören,Kalaba,Last floor floor,28,Kombi,4,Eşyalı Değil,1,3,1,145,135
52000,Ankara,Çankaya,Bahçelievler,1. floor,0,Kombi,3,Eşyalı Değil,1,3,1,140,130
23000,Ankara,Çankaya,Ön Cebeci,Middle floor,35,Kombi,4,Eşyalı Değil,1,3,1,115,110
23000,Ankara,Çankaya,Kocatepe,3. floor,60,Kombi,5,Eşyalı Değil,1,3,1,140,130
23000,Ankara,Çankaya,Akpınar,1. floor,20,Kombi,3,Eşyalı,2,3,1,135,130
15000,Ankara,Pursaklar,Saray Cumhuriyet,4. floor,12,Kombi,4,Eşyalı,1,1,1,90,80
20000,Ankara,Pursaklar,Saray Cumhuriyet,4. floor,11,Kombi,4,Eşyalı,1,2,1,110,100
18500,Ankara,Gölbaşı,İncek,High entrance,1,Kombi,3,Eşyalı Değil,1,1,1,52,48
32000,Ankara,Keçiören,Ovacık,3. floor,4,Merkezi (Pay Ölçer),15,Eşyalı Değil,2,4,1,210,187
30000,Ankara,Çankaya,Ayrancı,3. floor,45,Merkezi,4,Eşyalı Değil,1,3,1,140,120
30000,Ankara,Çankaya,Ayrancı,2. floor,45,Kombi,4,Eşyalı,1,3,1,120,110
25000,Ankara,Keçiören,Esertepe,8. floor,20,Kombi,14,Eşyalı Değil,1,3,1,125,115
